Status,Agreement,Q1,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_12_TEXT,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_6_TEXT,Q6,Q7,Q8,Q9,Q10,Q11,Q12_496,Q12_497,Q12_498,Q12_499,Q12_500,Q12_501,Q12_502,Q12_502_TEXT,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_7_TEXT,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_14_TEXT,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_7_TEXT,Q18,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q19_12,Q19_12_TEXT,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_11,Q21_12,Q21_13,Q21_14,Q21_14_TEXT,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_6_TEXT,Q25_349,Q25_350,Q25_351,Q25_352,Q25_353,Q25_354,Q25_355,Q25_356,Q25_357,Q25_358,Q25_359,Q25_360,Q25_361,Q25_362,Q25_362_TEXT,Q26_1,Q26_2,Q26_1_TEXT,Q26_2_TEXT,Q27,Q28,Q29
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,Whether the functionality specified in requirements is completely covered by the implemented code,Whether the code is free of security vulnerabilities,Whether the test cases are defect free,Whether the test cases cover all program paths of the code,,,,,,After committing the changes,,,,Developing code only,,Neither like nor dislike,,Finding time to perform code review is sometimes difficult.,,Developers ,,,,"A management role such as a manager, a team lead or a software architect",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industry,,2,,< 50 employees,< 50 employees,I am moderately confident on my programming ability.
IP Address,Yes,"Yes, I have managed a team that performs code review",Logical defects in code,,,,,"Whether the code comments are clear, meaningful and well-placed",,Whether the functionality specified in requirements is completely covered by the implemented code,Whether the code is free of security vulnerabilities,,Whether the test cases cover all program paths of the code,,,,"Once the development is completed, before performing unit tests",,,Just before releasing the code to the customer,,,,Developing code only,,Neither like nor dislike,,Finding human resources to perform code review is sometimes difficult.,Developers ,,,,"A management role such as a manager, a team lead or a software architect",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industry,,5,,>= 250 employees,50 - 249 employees,I am moderately confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",,,,,,,,,"Once the development is completed, before performing unit tests","After the unit tests are completed, before committing the changes",,,,,"Mostly developing code, but sometimes reviewing code as well",,Like somewhat,,Finding time to perform code review is sometimes difficult.,,Developers ,,,,,,,,No,Developers ,,,,,,,,Because code reviewing requires programming knowledge,Because hiring separate staff for reviewing code is not productive,Because developers are the most efficient at reviewing code,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industry,,3,,>= 250 employees,>= 250 employees,I am moderately confident on my programming ability.
IP Address,Yes,"Yes, I have managed a team that performs code review",,,,"Whether the variable, constant, method, etc. naming is meaningful",,,If there is a better way of implementing the same functionality/a better design,,,,,,,In parallel to developing code,,"After the unit tests are completed, before committing the changes",,,,,,Developing and reviewing code equally,,Like somewhat,,Finding human resources to perform code review is sometimes difficult.,Developers ,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,"An in-house, general-purpose tool which has been tweaked to support code review or contains features that can be used to support code reviewing activities",An external tool built specifically for code reviewing,,,,In house built system ,,,,"Whether the variable, constant, method, etc. naming is meaningful",,,,,,,,,,Somewhat dissatisfied,,,,,,,,,,Features are very useful,,,,,,Reviewing the code using the tool(s) that I am currently using,,,Automatic bug detection that does not require understanding of code,,,,,,Difficult to learn,,,,,,,,,,,,,,,Industry,,,,>= 250 employees,< 50 employees,I have very little confidence on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,Whether the code is indented properly,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,Whether the functionality specified in requirements is completely covered by the implemented code,Whether the code is free of security vulnerabilities,Whether the test cases are defect free,Whether the test cases cover all program paths of the code,Other (Please specify),Regressions ,,,"After the unit tests are completed, before committing the changes",,,,,"Mostly developing code, but sometimes reviewing code as well",,Like somewhat,,Finding time to perform code review is sometimes difficult.,,Developers ,,,,"A management role such as a manager, a team lead or a software architect",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,"An external, general-purpose tool which contains features that can be used to support code reviewing activities",,,"Visual studio team service
Visual studio IDE",,Whether the code is indented properly,,,,,,,,,,,,Somewhat satisfied,,,,,,,,,The interface is simple and easy to learn and use,Features are very useful,,,,,,Reviewing the code using the tool(s) that I am currently using,,Code visualization,,Automatic program slicing,,,,,,,Produces inaccurate results sometimes,,,,,,,Does not produce all the necessary information for decision making,,,,,,Industry,,4,,>= 250 employees,>= 250 employees,I am moderately confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,Whether the functionality specified in requirements is completely covered by the implemented code,,,,,,In parallel to developing code,"Once the development is completed, before performing unit tests","After the unit tests are completed, before committing the changes",After committing the changes,,,,Developing and reviewing code equally,,Like a great deal,,Finding time to perform code review is never difficult.,,Developers ,,,,"A management role such as a manager, a team lead or a software architect",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industry,,,,>= 250 employees,>= 250 employees,I am extremely confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,Whether the code is indented properly,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,Whether the functionality specified in requirements is completely covered by the implemented code,Whether the code is free of security vulnerabilities,Whether the test cases are defect free,Whether the test cases cover all program paths of the code,,,In parallel to developing code,,"After the unit tests are completed, before committing the changes",,,,,Developing and reviewing code equally,,Like a great deal,,Finding time to perform code review is never difficult.,,Developers ,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,An in-house tool built specifically to support code reviewing activities,,,,,,Can't remember sorry! Haven't worked there in a while.,,Whether the code is indented properly,Whether the coding conventions are followed,,Whether the company's or project's design practices are followed,,,,,Whether the test cases are defect free,Whether the test cases cover all program paths of the code,,,Extremely satisfied,,,,,,,,,The interface is simple and easy to learn and use,Features are very useful,,,Tool results are readily useful,,,Reviewing the code using the tool(s) that I am currently using,,,Automatic bug detection that does not require understanding of code,,,,,,,,,,,,,,,,,,,,,Industry,,0.5,,>= 250 employees,>= 250 employees,I am moderately confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,Whether the code is indented properly,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,Whether the functionality specified in requirements is completely covered by the implemented code,,,Whether the test cases cover all program paths of the code,,,,"Once the development is completed, before performing unit tests",,,,,,Developing and reviewing code equally,,Like a great deal,,Finding time to perform code review is sometimes difficult.,,,,,,"A management role such as a manager, a team lead or a software architect",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industry,,,,>= 250 employees,< 50 employees,I am moderately confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,Whether the code is indented properly,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,Whether the functionality specified in requirements is completely covered by the implemented code,,,,,,,"Once the development is completed, before performing unit tests",,,,,,Developing and reviewing code equally,,Like a great deal,,Finding time to perform code review is sometimes difficult.,,,,,,"A management role such as a manager, a team lead or a software architect",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industry,,,,>= 250 employees,< 50 employees,I am moderately confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,Whether the code is indented properly,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,,,,,,,In parallel to developing code,,,After committing the changes,,,,Developing and reviewing code equally,,Neither like nor dislike,,Finding time to perform code review is never difficult.,,Developers ,,,,"A management role such as a manager, a team lead or a software architect",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industry,OSS,6,3,>= 250 employees,>= 250 employees,I am extremely confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,Whether the code is indented properly,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,,,,,,,,,,After committing the changes,,,,Developing code only,,Neither like nor dislike,,Finding time to perform code review is sometimes difficult.,,Developers ,,,"Whoever is available, developers or non-developers","A management role such as a manager, a team lead or a software architect",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industry,,,,>= 250 employees,>= 250 employees,I am extremely confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code and managed a team that performs code review",Logical defects in code,,,,,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,,,,,,,In parallel to developing code,,,After committing the changes,,,,"Mostly developing code, but sometimes reviewing code as well","Mostly developing code, but sometimes reviewing code as well",Like a great deal,Like somewhat,Finding time to perform code review is sometimes difficult.,Finding human resources to perform code review is sometimes difficult.,Developers ,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industry,,5,,50 - 249 employees,50 - 249 employees,I am extremely confident on my programming ability.
IP Address,Yes,"No, I have no experience in code review",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",,,,Whether the functionality specified in requirements is completely covered by the implemented code,,Whether the test cases are defect free,Whether the test cases cover all program paths of the code,,,In parallel to developing code,,,,,,,"Mostly developing code, but sometimes reviewing code as well",,Like somewhat,,Finding time to perform code review is sometimes difficult.,,Developers ,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,An external tool built specifically for code reviewing,,,,GitHub PR code review feature,,,,,,,,,,,,,,Neither satisfied nor dissatisfied,,Inadequate tool features,,,,,,,,,,,,,,Manually reading through the piece of code using a text editor or a common IDE,,,,,,,,,,,,Provides only basic support for the understanding needs of the reviewer,Too lightweight/not rigorous enough,,,,,,,,,,,Industry,OSS,1,7,< 50 employees,< 50 employees,I am extremely confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,Whether the code is indented properly,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,Whether the functionality specified in requirements is completely covered by the implemented code,,,,,,,"Once the development is completed, before performing unit tests","After the unit tests are completed, before committing the changes",After committing the changes,,,,Developing code only,,Neither like nor dislike,,Finding time to perform code review is sometimes difficult.,,Developers ,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,Other (Please specify),Crucible,Crucible,Logical defects in code,,,,,,,,,,,,,Neither satisfied nor dissatisfied,,,,,,,,,,Features are very useful,,,,,,Manually reading through the piece of code using a text editor or a common IDE,,,,,,,,,,,,,,,,,,,,,Does not make the most effective use of human resources,,,Industry,,,,>= 250 employees,>= 250 employees,I am extremely confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,Whether the code is indented properly,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",,,If there is a better way of implementing the same functionality/a better design,Whether the functionality specified in requirements is completely covered by the implemented code,,,Whether the test cases cover all program paths of the code,,,,,,After committing the changes,,,,"Mostly developing code, but sometimes reviewing code as well",,Like a great deal,,Finding time to perform code review is always difficult.,,Developers ,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industry,,,,>= 250 employees,>= 250 employees,I am extremely confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",,,,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,Whether the functionality specified in requirements is completely covered by the implemented code,Whether the code is free of security vulnerabilities,Whether the test cases are defect free,,,,,"Once the development is completed, before performing unit tests",,After committing the changes,Just before releasing the code to the customer,,,Developing and reviewing code equally,,Like somewhat,,Finding time to perform code review is sometimes difficult.,,Developers ,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industry,OSS,2,1,< 50 employees,< 50 employees,I am moderately confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,Whether the functionality specified in requirements is completely covered by the implemented code,Whether the code is free of security vulnerabilities,Whether the test cases are defect free,Whether the test cases cover all program paths of the code,,,In parallel to developing code,"Once the development is completed, before performing unit tests",,After committing the changes,,,,"Mostly developing code, but sometimes reviewing code as well",,Like a great deal,,Finding time to perform code review is always difficult.,,Developers ,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industry,,3,,>= 250 employees,>= 250 employees,I am moderately confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,Whether the code is indented properly,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,,,,,Other (Please specify),Easy to understand without any hassle.,In parallel to developing code,,"After the unit tests are completed, before committing the changes",,,,,"Mostly developing code, but sometimes reviewing code as well",,Like a great deal,,Finding time to perform code review is sometimes difficult.,,Developers ,,,,"A management role such as a manager, a team lead or a software architect",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,An in-house tool built specifically to support code reviewing activities,,,,,,SCA,Logical defects in code,,Whether the coding conventions are followed,,Whether the company's or project's design practices are followed,,If there is a better way of implementing the same functionality/a better design,,,,,,,Extremely dissatisfied,,,,,,,,,The interface is simple and easy to learn and use,Features are very useful,Tool usage instructions are clear,Tool usage instructions are easily accessible,Tool results are readily useful,,,Reviewing the code using the tool(s) that I am currently using,,Code visualization,Automatic bug detection that does not require understanding of code,,,,,,,,,,,,Not able to support different types of inspection processes,,,,,,,,,Industry,,,,>= 250 employees,>= 250 employees,I am extremely confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",,Whether the code is indented properly,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,,Whether the code is free of security vulnerabilities,,,Other (Please specify),Whether the code is optimized,In parallel to developing code,"Once the development is completed, before performing unit tests","After the unit tests are completed, before committing the changes",,,,,Developing and reviewing code equally,,Like a great deal,,Finding time to perform code review is sometimes difficult.,,Developers ,,,,"A management role such as a manager, a team lead or a software architect",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industry,,12,,>= 250 employees,>= 250 employees,I am extremely confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,Whether the code is indented properly,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,Whether the functionality specified in requirements is completely covered by the implemented code,Whether the code is free of security vulnerabilities,Whether the test cases are defect free,Whether the test cases cover all program paths of the code,,,In parallel to developing code,"Once the development is completed, before performing unit tests",,,,,,Developing and reviewing code equally,,Like somewhat,,Finding time to perform code review is never difficult.,,Developers ,,,,"A management role such as a manager, a team lead or a software architect",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,An external tool built specifically for code reviewing,,,,"http://eraplatform.virtusa.com
veracode products 
",Logical defects in code,Whether the code is indented properly,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,,Whether the code is free of security vulnerabilities,Whether the test cases are defect free,,,,Extremely satisfied,,,,,,,,,The interface is simple and easy to learn and use,Features are very useful,Tool usage instructions are clear,Tool usage instructions are easily accessible,Tool results are readily useful,,,Reviewing the code using the tool(s) that I am currently using,,,,Automatic program slicing,,,,,,,Produces inaccurate results sometimes,,,,,,,,,,,,,Industry,,3,,>= 250 employees,>= 250 employees,I am extremely confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,,Whether the coding conventions are followed,,Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,Whether the functionality specified in requirements is completely covered by the implemented code,,,,,,,"Once the development is completed, before performing unit tests",,,,,,"Mostly developing code, but sometimes reviewing code as well",,Neither like nor dislike,,Finding time to perform code review is always difficult.,,,,,,"A management role such as a manager, a team lead or a software architect",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,"An external, general-purpose tool which contains features that can be used to support code reviewing activities",,,Sonar lint,,,Whether the coding conventions are followed,,Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,,,,,,,Somewhat satisfied,,,,,,,,,,Features are very useful,,,Tool results are readily useful,,,I would like to use a better tool than what I am using now,,,,,,,,,,,,Provides only basic support for the understanding needs of the reviewer,,,Not able to support different types of inspection processes,,,,,Not general enough/only focuses on solving a single or few of many review issues,,,,Industry,,,,< 50 employees,< 50 employees,I am extremely confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",,Whether the code is indented properly,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,Whether the functionality specified in requirements is completely covered by the implemented code,Whether the code is free of security vulnerabilities,Whether the test cases are defect free,Whether the test cases cover all program paths of the code,,,In parallel to developing code,"Once the development is completed, before performing unit tests",,,Just before releasing the code to the customer,,,Developing and reviewing code equally,,Like somewhat,,Finding time to perform code review is always difficult.,,,,,,"A management role such as a manager, a team lead or a software architect",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,An in-house tool built specifically to support code reviewing activities,,An external tool built specifically for code reviewing,,,,"SonarQube, InsightLive",,,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",,,Whether the code is free of security vulnerabilities,,,,,Somewhat satisfied,,,,,,,,Tool usage instructions are hard to access,,,,,,,,I would like to use a better tool than what I am using now,,,,,,,,,,Too complex to use,Produces inaccurate results sometimes,,,,,,Lacks support for effective collaboration,Does not produce all the necessary information for decision making,,,,,,Industry,,4,,>= 250 employees,>= 250 employees,I am extremely confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,Whether the code is indented properly,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,Whether the functionality specified in requirements is completely covered by the implemented code,Whether the code is free of security vulnerabilities,,,,,,,,After committing the changes,,,,"Mostly developing code, but sometimes reviewing code as well",,Like somewhat,,Finding time to perform code review is sometimes difficult.,,Developers ,,,,,,,,No,,,,,"A management role such as a manager, a team lead or a software architect",,,,,,,,,,,,,Because management roles tend to have more experience and knowledge on the process,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industry,,3,,>= 250 employees,50 - 249 employees,I am moderately confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,,,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",,,,,Whether the test cases cover all program paths of the code,,,,,"After the unit tests are completed, before committing the changes",After committing the changes,,,,"Mostly developing code, but sometimes reviewing code as well",,Like somewhat,,Finding time to perform code review is sometimes difficult.,,Developers ,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,Other (Please specify),"Github,JsLint","Github, JSLint",Logical defects in code,,,,,,,,,,,,,Somewhat satisfied,,,Most of the tool features are not useful,,,,,,,,Tool usage instructions are clear,,Tool results are readily useful,,,Manually reading through the piece of code using a text editor or a common IDE,,,,,,,,,,,Produces inaccurate results sometimes,,,,,,Lacks support for effective collaboration,Does not produce all the necessary information for decision making,,,,,,Industry,,7,,>= 250 employees,50 - 249 employees,I am extremely confident on my programming ability.
IP Address,Yes,"No, I have no experience in code review",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,,,,Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",,,Whether the code is free of security vulnerabilities,Whether the test cases are defect free,,,,In parallel to developing code,,,After committing the changes,,,,"Mostly developing code, but sometimes reviewing code as well",,Like somewhat,,Finding time to perform code review is sometimes difficult.,,,,,"Whoever is available, developers or non-developers",,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,A general-purpose IDE,,,An external tool built specifically for code reviewing,,,,Codacy,,,,,Whether the company's or project's design practices are followed,,,,,Whether the test cases are defect free,,,,Neither satisfied nor dissatisfied,,,,,,Time-consuming to use,Tool usage instructions are not clear,,,Features are very useful,,Tool usage instructions are easily accessible,,,,Reviewing the code using the tool(s) that I am currently using,,,,,,Ability of the tool to perform all operations internally and produce a report which can be directly used for decision making,,,,Too complex to use,,,,,,,,,,Not general enough/only focuses on solving a single or few of many review issues,,,,,OSS,,,< 50 employees,< 50 employees,I am moderately confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,Whether the code is indented properly,Whether the coding conventions are followed,"Whether the variable, constant, method, etc. naming is meaningful",Whether the company's or project's design practices are followed,"Whether the code comments are clear, meaningful and well-placed",If there is a better way of implementing the same functionality/a better design,Whether the functionality specified in requirements is completely covered by the implemented code,Whether the code is free of security vulnerabilities,,Whether the test cases cover all program paths of the code,,,In parallel to developing code,"Once the development is completed, before performing unit tests",,,,,,"Mostly developing code, but sometimes reviewing code as well",,Like somewhat,,Finding time to perform code review is sometimes difficult.,,Developers ,,,,"A management role such as a manager, a team lead or a software architect",,,,No,Developers ,"A separate, dedicated code review team",,,"A management role such as a manager, a team lead or a software architect",,,,Because code reviewing requires programming knowledge,,Because developers are the most efficient at reviewing code,Because it is difficult for the developers to find time for reviewing code,Because developers are mostly not interested in reviewing code,Because context switching for developers is difficult and time-wasting,Because letting developers concentrate on only development tasks produce better results,Because code reviewing is an important task and should be given its due importance,,Because management roles tend to have more experience and knowledge on the process,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industry,,3,,50 - 249 employees,50 - 249 employees,I am extremely confident on my programming ability.
IP Address,Yes,"Yes, I have reviewed code",Logical defects in code,,,,Whether the company's or project's design practices are followed,,If there is a better way of implementing the same functionality/a better design,Whether the functionality specified in requirements is completely covered by the implemented code,,,Whether the test cases cover all program paths of the code,,,,"Once the development is completed, before performing unit tests","After the unit tests are completed, before committing the changes",,Just before releasing the code to the customer,,,Developing and reviewing code equally,,Dislike somewhat,,Finding time to perform code review is sometimes difficult.,,Developers ,,Non-developers,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industry,,,,50 - 249 employees,< 50 employees,I have very little confidence on my programming ability.
